Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Status,Effective Month,Effective Year,Current Month,Current Year,Associated with Combined Heat and Power System,Sector Name,Sector,Previously Canceled,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Turbines or Hydrokinetic Buoys,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Solid Fuel Gasification System?,Carbon Capture Technology?,Multiple Fuels?,Switch Between Oil and Natural Gas?,Cofire Fuels?
803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,GT3,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,140.0,0.850,102.0,102.0,U,11,2017,4,2019,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,,
803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,GT4,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,140.0,0.850,102.0,102.0,U,12,2017,4,2019,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,,
803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,GT5,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,140.0,0.850,102.0,102.0,V,2,2018,5,2019,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,,
803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,GT6,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,140.0,0.850,102.0,102.0,V,3,2018,4,2019,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,,
803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,GT7,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,140.0,0.850,102.0,102.0,V,4,2018,4,2019,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,,
24211,Tucson Electric Power Co,126,H Wilson Sundt Generating Station,AZ,Pima,RIC1,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,23.5,0.800,18.2,19.0,U,11,2019,3,2020,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,,
24211,Tucson Electric Power Co,126,H Wilson Sundt Generating Station,AZ,Pima,RIC10,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,23.5,0.800,18.2,19.0,U,12,2019,3,2020,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,,
24211,Tucson Electric Power Co,126,H Wilson Sundt Generating Station,AZ,Pima,RIC2,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,23.5,0.800,18.2,19.0,U,11,2019,3,2020,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,,
24211,Tucson Electric Power Co,126,H Wilson Sundt Generating Station,AZ,Pima,RIC3,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,23.5,0.800,18.2,19.0,U,11,2019,3,2020,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,,
24211,Tucson Electric Power Co,126,H Wilson Sundt Generating Station,AZ,Pima,RIC4,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,23.5,0.800,18.2,19.0,U,11,2019,3,2020,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,,
