Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Status,Effective Month,Effective Year,Current Month,Current Year,Associated with Combined Heat and Power System,Sector Name,Sector,Previously Canceled,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Turbines or Hydrokinetic Buoys,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Solid Fuel Gasification System?,Carbon Capture Technology?,Multiple Fuels?,Switch Between Oil and Natural Gas?,Cofire Fuels?
803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,GT3,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,161.9,0.850,104.7,105.8,P,11,2017,4,2019,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,,
803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,GT4,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,161.9,0.850,104.7,105.8,P,12,2017,4,2019,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,,
803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,GT5,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,161.9,0.850,104.7,105.8,U,2,2018,2,2019,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,,
803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,GT6,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,161.9,0.850,104.7,105.8,U,3,2018,1,2019,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,,
803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,GT7,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,161.9,0.850,104.7,105.8,U,4,2018,1,2019,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,,
14354,PacifiCorp,299,Blundell,UT,Beaver,3,Geothermal,ST,,S,X,X,,,30.0, ,35.0,35.0,P,12,2010,12,2019,N,Electric Utility,1,,GEO,,,,,, ,,,,,,,,N,,N,,
22148,AES Alamitos LLC,315,AES Alamitos LLC,CA,Los Angeles,1A,Natural Gas Fired Combined Cycle,CT,,S,N,N,ALMIT CTG1A B1,ALMIT CTG1A B1,231.0, ,226.0,235.0,U,4,2020,4,2020,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,N,,,N,N,N,N,N
22148,AES Alamitos LLC,315,AES Alamitos LLC,CA,Los Angeles,1B,Natural Gas Fired Combined Cycle,CT,,S,N,N,ALMIT CTG1B B1,ALMIT CTG1B B1,231.0, ,226.0,235.0,U,4,2020,4,2020,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,N,N,N
22148,AES Alamitos LLC,315,AES Alamitos LLC,CA,Los Angeles,1S,Natural Gas Fired Combined Cycle,CA,,S,N,X,ALMITSTG1S B1,ALMITSTG1S B1,231.0, ,192.0,211.0,U,4,2020,4,2020,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,N,N,N
23693,AES Huntington Beach LLC,335,AES Huntington Beach LLC,CA,Orange,1A,Natural Gas Fired Combined Cycle,CT,,S,N,N,HUNT_CTG 1A,HUNT_CTG 1A,231.0, ,226.0,235.0,U,3,2020,3,2020,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,N,,
